Date      , 20H.Beta.V2_table, 20I.Alpha.V1_table, 20J.Gamma.V3_table, 21A.Delta_table, 21K.Omicron_table, Total_Sequences, 20H.Beta.V2_mutations, 20I.Alpha.V1_mutations, 20J.Gamma.V3_mutations, 21A.Delta_mutations, 21K.Omicron_mutations
2020-12-24,            1682.0,             6882.0,                0.0,             0.0,               0.0,          8564.0,                    20,                     18,                     20,                  20,                    20
2020-12-25,             208.0,             4636.0,                0.0,             0.0,               0.0,          4844.0,                    20,                     18,                     20,                  20,                    20
2020-12-26,              38.0,              243.0,                0.0,             0.0,               0.0,           281.0,                    20,                     18,                     20,                  20,                    20
2020-12-27,             529.0,              372.0,                0.0,             0.0,               0.0,           901.0,                    20,                     18,                     20,                  20,                    20
2020-12-28,              51.0,              178.0,                0.0,             0.0,               0.0,           229.0,                    20,                     18,                     20,                  20,                    20
2020-12-29,             526.0,              790.0,                0.0,             0.0,               0.0,          1316.0,                    20,                     18,                     20,                  20,                    20
2020-12-30,               0.0,               27.0,                0.0,             0.0,               0.0,            27.0,                    20,                     18,                     20,                  20,                    20
2020-12-31,               8.0,             1968.0,                0.0,             0.0,               0.0,          1976.0,                    20,                     18,                     20,                  20,                    20
2021-01-01,            3046.0,                0.0,              170.0,             0.0,               0.0,          3216.0,                    20,                     18,                     20,                  20,                    20
2021-01-02,             109.0,              561.0,              121.0,             0.0,               0.0,           791.0,                    20,                     18,                     20,                  20,                    20
2021-01-03,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2021-01-04,             130.0,             5053.0,             2946.0,             0.0,               0.0,          8129.0,                    20,                     18,                     20,                  20,                    20
2021-01-05,              14.0,             1208.0,            28221.0,         51555.0,               0.0,         80998.0,                    20,                     18,                     20,                  20,                    20
2021-01-06,              49.0,               84.0,             2747.0,         13155.0,               0.0,         16035.0,                    20,                     18,                     20,                  20,                    20
2021-01-07,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2021-01-08,               0.0,              114.0,             4466.0,             0.0,               0.0,          4580.0,                    20,                     18,                     20,                  20,                    20
2021-01-09,             899.0,              264.0,                0.0,             0.0,               0.0,          1163.0,                    20,                     18,                     20,                  20,                    20
2021-01-10,               0.0,                0.0,               14.0,             0.0,               0.0,            14.0,                    20,                     18,                     20,                  20,                    20
2021-01-11,               2.0,                0.0,                0.0,             0.0,               0.0,             2.0,                    20,                     18,                     20,                  20,                    20
2021-01-12,             301.0,             4442.0,               68.0,             0.0,               0.0,          4811.0,                    20,                     18,                     20,                  20,                    20
2021-01-13,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2021-01-14,              57.0,                0.0,                0.0,             0.0,               0.0,            57.0,                    20,                     18,                     20,                  20,                    20
2021-01-15,               0.0,              116.0,                0.0,             0.0,               0.0,           116.0,                    20,                     18,                     20,                  20,                    20
2021-01-16,               0.0,                2.0,                0.0,             0.0,               0.0,             2.0,                    20,                     18,                     20,                  20,                    20
2021-01-17,               0.0,               75.0,                0.0,             0.0,               0.0,            75.0,                    20,                     18,                     20,                  20,                    20
2021-01-18,               0.0,               16.0,                0.0,             0.0,               0.0,            16.0,                    20,                     18,                     20,                  20,                    20
2021-01-19,              69.0,                0.0,                0.0,             0.0,               0.0,            69.0,                    20,                     18,                     20,                  20,                    20
2021-01-20,               0.0,             4677.0,                0.0,             0.0,               0.0,          4677.0,                    20,                     18,                     20,                  20,                    20
2021-01-21,             448.0,               98.0,                0.0,             0.0,               0.0,           546.0,                    20,                     18,                     20,                  20,                    20
